#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.293548    0.293548           0
           2    0.295638    0.294593 0.000739112
           3    0.292692    0.293959 0.000714551
           4    0.292372    0.293562 0.000636609
           5    0.293422    0.293534 0.000509903
           6    0.294836    0.293751 0.000468784
           7    0.292513    0.293574 0.000433899
           8    0.291186    0.293276 0.000471289
           9    0.294332    0.293393 0.000433272
          10    0.292789    0.293333 0.000394131
          11    0.294006    0.293394 0.000363014
          12    0.291241    0.293215 0.000374478
          13    0.293198    0.293213 0.000345674
          14    0.294213    0.293285 0.000328278
          15    0.294319    0.293354 0.000313547
          16    0.292618    0.293308 0.000297304
          17    0.293897    0.293342 0.000281832
          18    0.293466    0.293349 0.000266258
          19    0.294982    0.293435 0.000265754
          20    0.292397    0.293383 0.000257488
