#   N_BLOCK:  ACCEPTANCE:
           1    0.534038
           2    0.533746
           3    0.533585
           4    0.533477
           5    0.533445
           6    0.533621
           7    0.533556
           8    0.533492
           9    0.533431
          10    0.533514
          11    0.533515
          12    0.533525
          13    0.533518
          14    0.533496
          15    0.533488
          16    0.533456
          17    0.533484
          18    0.533473
          19    0.533488
          20    0.533542
