#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.51224     2.51224           0
           2     2.54373     2.52799   0.0111365
           3      2.5074     2.52112  0.00930101
           4     2.55109     2.52862  0.00952726
           5     2.51968     2.52683  0.00778774
           6     2.53978     2.52899  0.00678241
           7     2.50565     2.52565  0.00658217
           8     2.58909     2.53358  0.00939093
           9     2.54419     2.53476  0.00842117
          10     2.54573     2.53586  0.00765012
          11     2.54593     2.53677  0.00700923
          12     2.50125     2.53381  0.00702243
          13     2.54303     2.53452  0.00651795
          14     2.50887     2.53269  0.00630475
          15     2.51046     2.53121  0.00605617
          16     2.51858     2.53042  0.00572884
          17     2.51713     2.52964  0.00544494
          18     2.53032     2.52968  0.00514257
          19     2.52776     2.52957   0.0048729
          20     2.54633     2.53041  0.00470072
